province_name_th,province_name_en,region,gate_result,passed_gate,overall_score,energy_score_pct,water_score_pct,talent_score_pct,risk_score_pct,business_score_pct,infrastructure_score_pct,energy_score,water_score,talent_score,risk_score,business_score,infrastructure_score,grade,tier,rank_overall,EEC,Strategic,installed_mw,storage_mcm,univ_count,voc_count,boi_projects,ieat_count,dc_it_load_mw,flood_risk,seismic_risk,lat,lng
ตาก,Tak,North,4/6 ข้อ,True,49.148999999999994,40.0,99.82,24.0,62.599999999999994,30.0,25.0,14.0,19.96,4.8,6.26,2.25,1.88,D,Tier 3 – Conditional (Edge DC),12.0,0,0,0.0,13462,4,4,0,0,0.0,68,50,16.8798,99.1268
สงขลา,Songkhla,South,5/6 ข้อ,True,48.466,40.0,47.33,68.0,69.0,30.0,30.0,14.0,9.47,13.6,6.9,2.25,2.25,D,Tier 3 – Conditional (Edge DC),13.0,0,1,59.0,0,12,10,0,3,0.0,60,90,7.1756,100.6143
นครศรีธรรมราช,Nakhon Si Thammarat,South,4/6 ข้อ,True,48.193,40.0,44.09,70.0,72.5,30.0,25.0,14.0,8.82,14.0,7.25,2.25,1.88,D,Tier 3 – Conditional (Edge DC),14.0,0,0,1020.0,0,12,11,0,0,0.0,65,90,8.4304,99.9631
สมุทรปราการ,Samut Prakan,Central,5/6 ข้อ,True,47.658,40.0,53.54,24.0,69.0,100.0,50.0,14.0,10.71,4.8,6.9,7.5,3.75,D,Tier 3 – Conditional (Edge DC),15.0,0,0,367.7,0,4,4,5,5,171.5,60,90,13.5991,100.5998
ตรัง,Trang,South,3/6 ข้อ,True,44.759,40.0,49.67,42.0,83.0,30.0,25.0,14.0,9.93,8.4,8.3,2.25,1.88,D,Tier 3 – Conditional (Edge DC),16.0,0,0,0.0,0,7,7,0,0,0.0,80,90,7.5591,99.6113
นครปฐม,Nakhon Pathom,Central,3/6 ข้อ,True,44.739000000000004,40.0,43.82,60.0,58.5,30.0,25.0,14.0,8.76,12.0,5.85,2.25,1.88,D,Tier 3 – Conditional (Edge DC),17.0,0,0,0.0,0,12,6,0,0,0.0,45,90,13.8199,100.0624
ลำปาง,Lampang,North,4/6 ข้อ,True,44.517,40.0,38.96,58.0,70.0,30.0,25.0,14.0,7.79,11.6,7.0,2.25,1.88,D,Tier 3 – Conditional (Edge DC),18.0,0,0,128.4,0,11,7,0,0,0.0,70,70,18.2888,99.4909
ยะลา,Yala,South,3/6 ข้อ,True,44.493,40.0,51.14,42.0,77.4,30.0,25.0,14.0,10.23,8.4,7.74,2.25,1.88,D,Tier 3 – Conditional (Edge DC),19.0,0,0,23.0,0,8,5,0,0,0.0,72,90,6.5407,101.2803
ฉะเชิงเทรา,Chachoengsao,East (EEC),6/6 ข้อ,True,44.312,40.0,36.56,26.0,65.5,100.0,50.0,14.0,7.31,5.2,6.55,7.5,3.75,D,Tier 3 – Conditional (Edge DC),20.0,1,0,222.14,0,3,7,2,5,200.0,55,90,13.6904,101.0779
ปทุมธานี,Pathum Thani,Central,5/6 ข้อ,True,43.017,40.0,44.21,58.0,44.5,30.0,25.0,14.0,8.84,11.6,4.45,2.25,1.88,D,Tier 3 – Conditional (Edge DC),21.0,0,0,713.9,0,13,3,2,0,0.0,25,90,14.0208,100.525
จันทบุรี,Chanthaburi,East,3/6 ข้อ,True,42.943,40.0,51.29,32.0,81.6,30.0,25.0,14.0,10.26,6.4,8.16,2.25,1.88,D,Tier 3 – Conditional (Edge DC),22.0,0,0,23.06,0,6,4,0,0,0.0,78,90,12.6111,102.1037
อุดรธานี,Udon Thani,Northeast,5/6 ข้อ,True,42.359,40.0,29.869999999999997,54.0,74.6,30.0,25.0,14.0,5.97,10.8,7.46,2.25,1.88,D,Tier 3 – Conditional (Edge DC),23.0,0,0,149.5,0,9,9,0,1,0.0,68,90,17.4138,102.7872
ปัตตานี,Pattani,South,4/6 ข้อ,True,41.119,40.0,49.67,28.0,74.6,30.0,25.0,14.0,9.93,5.6,7.46,2.25,1.88,D,Tier 3 – Conditional (Edge DC),24.0,0,0,23.0,0,4,6,0,0,0.0,68,90,6.8695,101.2503
สุรินทร์,Surin,Northeast,4/6 ข้อ,True,41.115,40.0,36.95,40.0,76.0,30.0,25.0,14.0,7.39,8.0,7.6,2.25,1.88,D,Tier 3 – Conditional (Edge DC),25.0,0,0,106.95,0,6,8,0,0,0.0,70,90,14.8827,103.4937
บุรีรัมย์,Buri Ram,Northeast,3/6 ข้อ,True,40.925000000000004,40.0,34.7,42.0,74.6,30.0,25.0,14.0,6.94,8.4,7.46,2.25,1.88,D,Tier 3 – Conditional (Edge DC),26.0,0,0,99.67,0,6,9,0,0,0.0,68,90,14.993,103.1029
สมุทรสาคร,Samut Sakhon,Central,4/6 ข้อ,True,40.392,40.0,53.21,20.0,72.5,30.0,30.0,14.0,10.64,4.0,7.25,2.25,2.25,D,Tier 3 – Conditional (Edge DC),27.0,0,0,0.0,0,3,3,0,3,0.0,65,90,13.5478,100.2741
พัทลุง,Phatthalung,South,3/6 ข้อ,True,39.325,40.0,47.3,20.0,77.4,30.0,25.0,14.0,9.46,4.0,7.74,2.25,1.88,F,Tier 4 – Not Recommended,28.0,0,0,0.0,0,1,6,0,0,0.0,72,90,7.6166,100.074
มหาสารคาม,Maha Sarakham,Northeast,3/6 ข้อ,True,39.207,40.0,38.21,32.0,70.4,30.0,25.0,14.0,7.64,6.4,7.04,2.25,1.88,F,Tier 4 – Not Recommended,29.0,0,0,0.0,0,5,6,0,0,0.0,62,90,16.1852,103.3001
พะเยา,Phayao,North,4/6 ข้อ,True,39.199,40.0,44.42,26.0,69.9,30.0,25.0,14.0,8.88,5.2,6.99,2.25,1.88,F,Tier 4 – Not Recommended,30.0,0,0,142.23,0,4,5,0,0,0.0,72,65,19.1664,99.9037
ศรีสะเกษ,Si Sa Ket,Northeast,3/6 ข้อ,True,39.081,40.0,30.53,38.0,72.5,30.0,25.0,14.0,6.11,7.6,7.25,2.25,1.88,F,Tier 4 – Not Recommended,31.0,0,0,0.0,0,5,9,0,0,0.0,65,90,15.1165,104.322
นราธิวาส,Narathiwat,South,3/6 ข้อ,True,38.993,40.0,50.54,20.0,67.6,30.0,25.0,14.0,10.11,4.0,6.76,2.25,1.88,F,Tier 4 – Not Recommended,32.0,0,0,0.0,0,3,2,0,0,0.0,58,90,6.4254,101.8253
ลพบุรี,Lopburi,Central,4/6 ข้อ,True,38.925,40.0,50.75,24.0,58.5,30.0,25.0,14.0,10.15,4.8,5.85,2.25,1.88,F,Tier 4 – Not Recommended,33.0,0,0,166.0,960,2,8,0,0,0.0,45,90,14.7995,100.6534
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,4/6 ข้อ,True,38.617955,51.0513,24.5,38.0,37.5,30.0,30.0,17.87,4.9,7.6,3.75,2.25,2.25,F,Tier 4 – Not Recommended,34.0,0,0,2405.13,0,5,9,0,3,0.0,15,90,14.3692,100.5877
สระแก้ว,Sa Kaeo,East,5/6 ข้อ,True,38.605000000000004,40.0,43.7,20.0,77.4,30.0,25.0,14.0,8.74,4.0,7.74,2.25,1.88,F,Tier 4 – Not Recommended,35.0,0,0,128.0,0,2,3,0,1,0.0,72,90,13.8241,102.0645
เชียงราย,Chiang Rai,North,3/6 ข้อ,True,38.601,40.0,25.13,48.0,58.5,30.0,25.0,14.0,5.03,9.6,5.85,2.25,1.88,F,Tier 4 – Not Recommended,36.0,0,0,0.0,0,8,8,0,0,0.0,60,55,19.9105,99.8406
ลำพูน,Lamphun,North,3/6 ข้อ,True,38.241,40.0,42.83,20.0,75.5,30.0,25.0,14.0,8.57,4.0,7.55,2.25,1.88,F,Tier 4 – Not Recommended,37.0,0,0,0.0,0,3,4,0,2,0.0,80,65,18.5748,99.0087
หนองคาย,Nong Khai,Northeast,3/6 ข้อ,True,38.191,40.0,41.629999999999995,20.0,77.4,30.0,25.0,14.0,8.33,4.0,7.74,2.25,1.88,F,Tier 4 – Not Recommended,38.0,0,0,0.0,0,2,3,0,0,0.0,72,90,17.8782,102.746
หนองบัวลำภู,Nong Bua Lam Phu,Northeast,3/6 ข้อ,True,38.127,40.0,42.71,20.0,74.6,30.0,25.0,14.0,8.54,4.0,7.46,2.25,1.88,F,Tier 4 – Not Recommended,39.0,0,0,0.0,0,3,2,0,0,0.0,68,90,17.2033,102.426
ปราจีนบุรี,Prachinburi,East,4/6 ข้อ,True,37.743,40.0,39.589999999999996,24.0,69.0,30.0,25.0,14.0,7.92,4.8,6.9,2.25,1.88,F,Tier 4 – Not Recommended,40.0,0,0,246.57,0,4,4,0,2,0.0,60,90,14.0528,101.3487
พิษณุโลก,Phitsanulok,North,3/6 ข้อ,True,37.614999999999995,40.0,24.5,44.0,57.89999999999999,30.0,25.0,14.0,4.9,8.8,5.79,2.25,1.88,F,Tier 4 – Not Recommended,41.0,0,0,133.92,0,8,6,0,0,0.0,45,88,16.8211,100.2659
ร้อยเอ็ด,Roi Et,Northeast,3/6 ข้อ,True,36.883,40.0,34.79,28.0,62.0,30.0,25.0,14.0,6.96,5.6,6.2,2.25,1.88,F,Tier 4 – Not Recommended,42.0,0,0,0.0,0,3,8,0,0,0.0,50,90,16.0538,103.652
นครสวรรค์,Nakhon Sawan,Central,3/6 ข้อ,True,36.224999999999994,40.0,24.5,42.0,48.0,30.0,25.0,14.0,4.9,8.4,4.8,2.25,1.88,F,Tier 4 – Not Recommended,43.0,0,0,321.13,0,7,7,0,0,0.0,30,90,15.703,100.137
เพชรบูรณ์,Phetchabun,North,3/6 ข้อ,True,35.224999999999994,40.0,24.5,30.0,62.0,30.0,25.0,14.0,4.9,6.0,6.2,2.25,1.88,F,Tier 4 – Not Recommended,44.0,0,0,253.54,0,5,5,0,0,0.0,50,90,16.4189,101.1553
สุโขทัย,Sukhothai,North,3/6 ข้อ,True,34.685,40.0,24.5,28.0,60.599999999999994,30.0,25.0,14.0,4.9,5.6,6.06,2.25,1.88,F,Tier 4 – Not Recommended,45.0,0,0,82.37,0,4,6,0,0,0.0,48,90,17.0063,99.8265
อ่างทอง,Ang Thong,Central,3/6 ข้อ,True,34.259,40.0,39.47,20.0,42.4,30.0,25.0,14.0,7.89,4.0,4.24,2.25,1.88,F,Tier 4 – Not Recommended,46.0,0,0,124.51,0,1,3,0,1,0.0,22,90,14.5896,100.455
สกลนคร,Sakon Nakhon,Northeast,3/6 ข้อ,True,32.353,40.0,51.14,20.0,0.0,30.0,25.0,14.0,10.23,4.0,0.0,2.25,1.88,F,Tier 4 – Not Recommended,47.0,0,0,0.0,520,3,4,0,0,0.0,0,0,17.1667,104.15
พิจิตร,Phichit,North,3/6 ข้อ,True,31.965,40.0,24.5,20.0,49.4,30.0,25.0,14.0,4.9,4.0,4.94,2.25,1.88,F,Tier 4 – Not Recommended,48.0,0,0,48.5,0,2,3,0,1,0.0,32,90,16.4426,100.3489
สุพรรณบุรี,Suphan Buri,West,3/6 ข้อ,True,31.025,40.0,24.5,40.0,0.0,30.0,25.0,14.0,4.9,8.0,0.0,2.25,1.88,F,Tier 4 – Not Recommended,49.0,0,0,264.01,0,7,6,0,0,0.0,0,0,14.4745,100.1177
ชัยภูมิ,Chaiyaphum,Northeast,3/6 ข้อ,True,30.727,40.0,37.01,26.0,0.0,30.0,25.0,14.0,7.4,5.2,0.0,2.25,1.88,F,Tier 4 – Not Recommended,50.0,0,0,448.9,0,4,5,0,0,0.0,0,0,15.8068,102.0319
เชียงใหม่,Chiang Mai,North,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,1,0.0,0,13,8,0,0,0.0,55,65,18.7883,98.9853
อุบลราชธานี,Ubon Ratchathani,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,10,9,0,0,0.0,55,90,15.2287,104.8573
ภูเก็ต,Phuket,South,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,1,0.0,0,3,4,0,0,0.0,88,90,7.8804,98.3923
นนทบุรี,Nonthaburi,Central,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,9,1,0,0,0.0,40,90,13.8621,100.5144
สตูล,Satun,South,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,2,3,0,0,0.0,88,90,6.6238,100.0674
ตราด,Trat,East,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,1,3,0,0,0.0,85,90,12.2427,102.5177
กระบี่,Krabi,South,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,1,5,0,0,0.0,82,90,8.0863,98.9063
ชุมพร,Chumphon,South,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,3,7,0,0,0.0,78,90,10.493,99.18
นครนายก,Nakhon Nayok,East,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,314,5,3,0,0,0.0,0,0,14.2049,101.2131
แพร่,Phrae,North,1/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (1/6 ข้อ),,0,0,0.0,0,5,6,0,0,0.0,0,0,18.1446,100.1405
ระนอง,Ranong,South,1/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (1/6 ข้อ),,0,0,0.0,0,2,3,0,0,0.0,0,0,9.9529,98.6083
สมุทรสงคราม,Samut Songkhram,Central,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,2,3,0,0,0.0,58,90,13.4098,100.0022
พังงา,Phang Nga,South,1/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (1/6 ข้อ),,0,0,0.0,0,2,4,0,0,0.0,0,0,8.4511,98.5253
บึงกาฬ,Bueng Kan,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,1,2,0,0,0.0,68,90,18.3609,103.6461
น่าน,Nan,North,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,3,4,0,0,0.0,75,75,18.7756,100.773
ประจวบคีรีขันธ์,Prachuap Khiri Khan,West,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,2,4,0,0,0.0,0,0,11.8126,99.7975
เลย,Loei,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,67.0,0,2,4,0,0,0.0,0,0,17.486,101.7223
มุกดาหาร,Mukdahan,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,44.85,0,2,4,0,0,0.0,62,90,16.5432,104.7234
อำนาจเจริญ,Amnat Charoen,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,2,2,0,0,0.0,62,90,15.8656,104.6259
แม่ฮ่องสอน,Mae Hong Son,North,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,2,2,0,0,0.0,60,45,19.302,97.9654
ยโสธร,Yasothon,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,2,3,0,0,0.0,0,0,15.7925,104.1451
กาฬสินธุ์,Kalasin,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,32.0,0,2,6,0,0,0.0,0,0,16.4337,103.5059
นครพนม,Nakhon Phanom,Northeast,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,0.0,0,3,4,0,0,0.0,35,90,17.392,104.7693
อุทัยธานี,Uthai Thani,Central,1/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (1/6 ข้อ),,0,0,20.0,0,3,3,0,0,0.0,0,0,15.3835,100.0248
สิงห์บุรี,Sing Buri,Central,1/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (1/6 ข้อ),,0,0,0.0,0,0,5,0,0,0.0,20,90,14.8921,100.4009
กำแพงเพชร,Kamphaeng Phet,North,2/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (2/6 ข้อ),,0,0,20.0,0,2,4,0,0,0.0,42,90,16.4826,99.5226
ชัยนาท,Chainat,Central,1/6 ข้อ,False,,,,,,,,,,,,,,,Tier 5 – ไม่ผ่าน Gate Criteria (1/6 ข้อ),,0,0,6.0,0,1,3,0,0,0.0,25,90,15.1851,100.1253
